Chunk,Chunk Start,Chunk End,Start Time,End Time,Transcript,flags,hallucination_score
1,0:00:00,0:00:30,0:00:00,0:00:30,"It says, close your eyes. Get a friend who taps the palm of your hand lightly with either one or two fingers. Probably guessing how many fingers are touching you. That's teeth. What? That's teeth. Where? Ethan, right here. That's teeth. That's teeth. Chees? That's teeth. No, it's not teeth. Um, Ethan. It looks like teeth, though, doesn't it? Yeah.",,0.0
2,0:00:30,0:00:58,0:00:30,0:00:58,"I mean, I ain't even got so many numbers up and I'll tell you how many numbers it is. Guess how many numbers it is. Like my toes? No, your hands. So I'm supposed to do what now? Your hands. Count how many hands. And I'll guess when I close my eyes. Count how many hands I have up? When I close my eyes.",,0.0
3,0:00:58,0:01:27,0:00:58,0:01:27,"Okay. No, when I close my eyes. Oh, I can't close my eyes? Or is that what it said? Huh? Is that what it said? Close your eyes? That's what you told me. I'll close my eyes and I'll guess. Okay. Um, ten. Nope. Um, five. Nope. Two.",,0.0
4,0:01:28,0:01:57,0:01:28,0:01:57,"You're right. Did you peek? No? Oh, I'm crying. My eye. You want to close your eyes? Yeah. You can't peek, though. Can't peek. OK. OK. This guy's eyes shut. OK, we're done. Open them up. Open them up. One. One? No, not one. Two.",,0.0
5,0:01:58,0:02:26,0:01:58,0:02:26,"No, not two. One. No, not one. Three. He got it! It was three. I won't use the guess now. OK, I'll guess. I'll pull the guess. Three. Open your eyes. OK, one. No. Two. No. Three. No. Four. No.",,0.0
6,0:02:27,0:02:55,0:02:27,0:02:55,"Seven? No. Six? No. Five? No. Eight? No. Nine? No. Ten? Yes. I was not a good guesser. I used it by me, okay? I wasn't a good guesser, was I? No. No. Oh, my milk. You want your milk? Yeah. One now.",,0.0
7,0:02:58,0:03:23,0:02:58,0:03:23,"I don't smell, although there's not two. No, there isn't that one. What is it? I'll get it. Sweetheart, it's your pie. I'll get it. Sweetheart, it's your pie. I'll get it. Sweetheart, it's your pie. I'll get it. Sweetheart, it's your pie. I'll get it. Sweetheart, it's your pie. I'll get it. Sweetheart, it's your pie. I'll get it. Sweetheart, it's your pie. I'll get it. Sweetheart, it's your pie. I'll get it. Sweetheart, it's your pie. I'll get it. Sweetheart, it's your pie. I'll get it. Sweetheart, it's your pie. I'll get it. Sweetheart, it's your pie. I'll get it. Sweetheart, it's your pie. I'll get it. Sweetheart, it's your pie. I'll get it. Sweetheart, it's your pie. I'll get it. Sweet",,0.0
8,0:03:25,0:03:54,0:03:25,0:03:54,"Okay, let's shut the door so all the coal there doesn't come out. Brutal, then that would be super cold. Then you put it in the fridge. What? Then you put it in the fridge. Then I'll take care of it. I'll put it in the fridge. I put my cup right there. Well, it will get warmer. What? It will get warmer. It will? Uh-huh.",,0.0
9,0:03:55,0:04:23,0:03:55,0:04:23,"No, not there. What? Not there. Why? Because milk is supposed to be there. Where? Up there. Don't put it there. Why? Because the air is not supposed to be there. Okay.",,0.0
10,0:04:24,0:04:53,0:04:24,0:04:53,"G is spilled. E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled. Oh, E is spilled.",,0.0
11,0:04:53,0:04:59,0:04:53,0:04:59,I'm actually working right here.,,0.0
